Date,Campaign name,Ad set name,Age,Gender,Amount spent (USD),country,audience description,Total investment,Ad revenue
2018-07-17,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.1,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.11,0.0
2018-07-18,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.02,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.13,0.0
2018-07-19,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.02,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.15,0.0
2018-07-21,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.01,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.16,0.0
2018-07-24,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.02,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.18,0.0
2018-07-25,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.01,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.19,0.0
2018-07-26,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.01,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.2,0.0
2018-07-27,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.0,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.2,0.0
2018-07-28,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.01,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.21,0.0
2018-07-29,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.03,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.24,0.0
2018-07-30,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.0,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.24,0.0
